provider_id,provider_provenance,event_time,base_symbol,comparison_symbol,relationship_type,relationship_confidence,timeframe,session,smt_signal,base_swing_type,base_level,comparison_swing_type,comparison_level,swept_side,normalized_for_inverse_correlation,near_pd_array,pd_array_type,mss_or_cisd_confirmed,displacement_confirmed,regime_label,regime_profit_branch_path,confidence,actionable,fail_closed_reason
binance,Binance BTCUSDT/ETHUSDT 1h,2026-04-01T13:00:00+00:00,BTC,ETH,positive,0.9022,1h,crypto_24x7,bullish_smt,LL,67918.83,HL,2108.72,sell_side_liquidity,False,False,none,False,False,other,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:btc_eth_1h_v1,0.15,False,confirmation_only_missing_mss_cisd_displacement_pda_and_outcome_labels
binance,Binance BTCUSDT/ETHUSDT 1h,2026-04-02T00:00:00+00:00,BTC,ETH,positive,0.9022,1h,crypto_24x7,bearish_smt,HH,68653.38,LH,2159.37,buy_side_liquidity,False,False,none,False,False,range,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:btc_eth_1h_v1,0.15,False,confirmation_only_missing_mss_cisd_displacement_pda_and_outcome_labels
binance,Binance BTCUSDT/ETHUSDT 1h,2026-04-06T16:00:00+00:00,BTC,ETH,positive,0.9022,1h,crypto_24x7,bearish_smt,HH,70351.46,LH,2169.6,buy_side_liquidity,False,False,none,False,False,trend,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:btc_eth_1h_v1,0.15,False,confirmation_only_missing_mss_cisd_displacement_pda_and_outcome_labels
binance,Binance BTCUSDT/ETHUSDT 1h,2026-04-07T02:00:00+00:00,BTC,ETH,positive,0.9022,1h,crypto_24x7,bullish_smt,LL,68273.34,HL,2093.64,sell_side_liquidity,False,False,none,False,False,transition,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:btc_eth_1h_v1,0.15,False,confirmation_only_missing_mss_cisd_displacement_pda_and_outcome_labels
binance,Binance BTCUSDT/ETHUSDT 1h,2026-04-08T09:00:00+00:00,BTC,ETH,positive,0.9022,1h,crypto_24x7,bearish_smt,HH,71955.0,LH,2263.35,buy_side_liquidity,False,False,none,False,False,trend,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:btc_eth_1h_v1,0.15,False,confirmation_only_missing_mss_cisd_displacement_pda_and_outcome_labels
binance,Binance BTCUSDT/ETHUSDT 1h,2026-04-08T14:00:00+00:00,BTC,ETH,positive,0.9022,1h,crypto_24x7,bullish_smt,LL,70707.23,HL,2186.61,sell_side_liquidity,False,False,none,False,False,trend,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:btc_eth_1h_v1,0.15,False,confirmation_only_missing_mss_cisd_displacement_pda_and_outcome_labels
binance,Binance BTCUSDT/ETHUSDT 1h,2026-04-10T08:00:00+00:00,BTC,ETH,positive,0.9022,1h,crypto_24x7,bullish_smt,LL,71426.15,HL,2176.4,sell_side_liquidity,False,False,none,False,False,range,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:btc_eth_1h_v1,0.15,False,confirmation_only_missing_mss_cisd_displacement_pda_and_outcome_labels
binance,Binance BTCUSDT/ETHUSDT 1h,2026-04-10T20:00:00+00:00,BTC,ETH,positive,0.9022,1h,crypto_24x7,bearish_smt,HH,73434.0,LH,2257.14,buy_side_liquidity,False,False,none,False,False,transition,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:btc_eth_1h_v1,0.15,False,confirmation_only_missing_mss_cisd_displacement_pda_and_outcome_labels
binance,Binance BTCUSDT/ETHUSDT 1h,2026-04-11T13:00:00+00:00,BTC,ETH,positive,0.9022,1h,crypto_24x7,bullish_smt,LL,72513.09,HL,2233.72,sell_side_liquidity,False,False,none,False,False,transition,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:btc_eth_1h_v1,0.15,False,confirmation_only_missing_mss_cisd_displacement_pda_and_outcome_labels
binance,Binance BTCUSDT/ETHUSDT 1h,2026-04-12T22:00:00+00:00,BTC,ETH,positive,0.9022,1h,crypto_24x7,bullish_smt,LL,70505.88,HL,2183.99,sell_side_liquidity,False,False,none,False,False,trend,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:btc_eth_1h_v1,0.15,False,confirmation_only_missing_mss_cisd_displacement_pda_and_outcome_labels
